bmrb_id,manifest_status,exclude_from_filtered_dataset,reason_codes,reason_summary,ligand_flag,paramagnetic_or_aromatic_ligand_flag,eight_sigma_outlier_flag,carbon_bound_proton_extreme_flag,withdrawn_entry_flag,rule_version,built_at
241,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
242,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
243,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
244,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
245,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
246,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
247,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
248,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
249,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
250,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
252,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
253,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
254,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
255,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
256,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
257,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
258,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
259,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
260,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
261,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
262,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
263,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
264,excluded,yes,eight_sigma_outlier,eight-sigma outlier,unknown,unknown,yes,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
274,excluded,yes,eight_sigma_outlier;carbon_bound_proton_extreme,eight-sigma outlier; carbon-bound proton extreme,unknown,unknown,yes,yes,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
275,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
276,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
280,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
283,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
